filename,commit_count,lines,deletions,insertions,bug_fix_commits,bug_density
514a1b26275c09d47a3f0da99dd1853a,2,81,2,79,0,0.0
6f24d43c8f59a45a49f8e13218c8f8fa,1,377,0,377,0,0.0
73f527c6e57297148a3efa42127af600,2,141,2,139,0,0.0
80a3616ca19596e4da0f10f14d241e9f,3,80,2,78,0,0.0
975cc7a00b5918947825b00e93a17887,4,308,16,292,0,0.0
9f31efc9612d54f2b80d2c9764be1cee,1,377,0,377,0,0.0
AI.js,4,61707,25431,36276,0,0.0
AI.js.meta,4,61707,25431,36276,0,0.0
AI.meta,4,61707,25431,36276,0,0.0
API.meta,1,3531,1375,2156,0,0.0
APIConnection.cs,13,6336,2507,3829,0,0.0
APIConnection.cs.meta,1,3531,1375,2156,0,0.0
ActionBase.cs,3,54470,18194,36276,0,0.0
ActionBase.cs.meta,3,54470,18194,36276,0,0.0
Adaptation.shader,1,23752,8,23744,0,0.0
Adaptation.shader.meta,1,23752,8,23744,0,0.0
AddInfoTest.cs,6,559,138,421,2,0.3333333333333333
AddInfoTest.cs.meta,1,113,3,110,0,0.0
AddInfoUI.prefab,1,113,3,110,0,0.0
AddInfoUI.prefab.meta,1,113,3,110,0,0.0
AddMuseumInfo.cs,14,23198,401,22797,2,0.14285714285714285
AddMuseumInfo.cs.meta,1,22192,0,22192,0,0.0
AddMuseumInfo.unity,6,22666,71,22595,1,0.16666666666666666
AddMuseumInfo.unity.meta,1,22192,0,22192,0,0.0
AddMuseumInfoInit.cs,2,22287,48,22239,0,0.0
AddMuseumInfoInit.cs.meta,2,22287,48,22239,0,0.0
Additive.shader,4,61707,25431,36276,0,0.0
Additive.shader.meta,4,61707,25431,36276,0,0.0
AfterExplosion_B.psd,4,61707,25431,36276,0,0.0
AfterExplosion_B.psd.meta,4,61707,25431,36276,0,0.0
Android.meta,1,4181,22,4159,0,0.0
Android.mk,2,4283,2052,2231,0,0.0
Android.mk.meta,2,4283,2052,2231,0,0.0
AndroidFacebook.cs,1,21682,20,21662,0,0.0
AndroidFacebook.cs.meta,1,21682,20,21662,0,0.0
AndroidFacebookLoader.cs,1,21682,20,21662,0,0.0
AndroidFacebookLoader.cs.meta,1,21682,20,21662,0,0.0
AndroidJava.jar,5,2427,141,2286,0,0.0
AndroidJava.jar.meta,1,2232,5,2227,0,0.0
AndroidManifest.xml,12,51097,295,50802,2,0.16666666666666666
AndroidManifest.xml.meta,2,21719,23,21696,0,0.0
AngryBotsTests.meta,9,62624,25674,36950,0,0.0
AngryInclude.cginc,4,61707,25431,36276,0,0.0
AngryInclude.cginc.meta,4,61707,25431,36276,0,0.0
Animation.meta,6,62272,25498,36774,0,0.0
Animations.meta,4,61707,25431,36276,0,0.0
AnnotationManager,1,11,0,11,0,0.0
Antialiasing.cs,1,23752,8,23744,0,0.0
Antialiasing.cs.meta,1,23752,8,23744,0,0.0
AntialiasingEditor.cs,1,23752,8,23744,0,0.0
AntialiasingEditor.cs.meta,1,23752,8,23744,0,0.0
AppViewHitBuilder.cs,1,4836,20,4816,0,0.0
AppViewHitBuilder.cs.meta,1,4836,20,4816,0,0.0
Application.mk,2,4283,2052,2231,0,0.0
Application.mk.meta,2,4283,2052,2231,0,0.0
Apply.shader,1,23752,8,23744,0,0.0
Apply.shader.meta,1,23752,8,23744,0,0.0
Art.cs,21,4012,1159,2853,5,0.23809523809523808
Art.cs.meta,1,221,0,221,0,0.0
Art.meta,1,221,0,221,0,0.0
ArtCatalog.cs,9,2477,1003,1474,2,0.2222222222222222
ArtCatalog.cs.meta,1,516,265,251,0,0.0
ArtCollection.cs,3,788,352,436,0,0.0
ArtCollectionPopUp.prefab,2,515,115,400,0,0.0
ArtCollectionPopUp.prefab.meta,2,515,115,400,0,0.0
ArtData.cs,5,428,70,358,2,0.4
ArtData.cs.meta,1,221,0,221,0,0.0
ArtDetails.cs,2,317,96,221,0,0.0
ArtDetails.cs.meta,2,317,96,221,0,0.0
ArtDetails.prefab,2,317,96,221,0,0.0
ArtDetails.prefab.meta,2,317,96,221,0,0.0
ArtDetails.unity,3,333,96,237,0,0.0
ArtDetails.unity.meta,2,317,96,221,0,0.0
ArtDetailsTest.cs,2,179,96,83,0,0.0
ArtDetailsTest.cs.meta,2,179,96,83,0,0.0
ArtEditPanel.cs,5,893,89,804,2,0.4
ArtEditPanel.cs.meta,1,788,62,726,0,0.0
ArtFilter.cs,11,1183,479,704,4,0.36363636363636365
ArtFilter.cs.meta,1,44,0,44,0,0.0
ArtGUIInterface.cs,2,721,196,525,0,0.0
ArtGUIInterface.cs.meta,1,117,35,82,0,0.0
ArtList.cs,8,2235,315,1920,1,0.125
ArtList.cs.meta,1,461,45,416,0,0.0
ArtListItem.cs,5,2073,272,1801,0,0.0
ArtListItem.cs.meta,1,461,45,416,0,0.0
ArtListItem.prefab,2,755,90,665,0,0.0
ArtListItem.prefab.meta,2,755,90,665,0,0.0
ArtPiece.cs,3,788,352,436,0,0.0
ArtRest.cs,21,3963,1553,2410,1,0.047619047619047616
ArtRest.cs.meta,1,117,35,82,0,0.0
ArtTest.cs,8,322,100,222,2,0.25
ArtTest.cs.meta,1,83,0,83,0,0.0
Artbrush.ttf,1,88,0,88,0,0.0
Artbrush.ttf.meta,1,88,0,88,0,0.0
Artist.cs,3,788,352,436,0,0.0
ArtistController.cs,7,5895,2321,3574,0,0.0
ArtistController.cs.meta,1,3531,1375,2156,0,0.0
ArtworkController.cs,23,8622,3128,5494,2,0.08695652173913043
ArtworkController.cs.meta,1,3531,1375,2156,0,0.0
ArtworkController.cs.orig,1,186,186,0,0,0.0
ArtworkController.cs.orig.meta,1,186,186,0,0,0.0
ArtworkData.cs,4,766,379,387,0,0.0
ArtworkData.cs.meta,1,43,17,26,0,0.0
ArtworkFilterController.cs,4,397,64,333,1,0.25
ArtworkFilterController.cs.meta,1,131,0,131,0,0.0
ArtworkGUI.cs,4,731,208,523,1,0.25
ArtworkGUI.cs.meta,1,604,161,443,0,0.0
ArtworkGUIData.cs,8,2115,1007,1108,2,0.25
ArtworkGUITests.cs,4,1188,466,722,0,0.0
ArtworkGUITests.cs.meta,1,604,161,443,0,0.0
ArtworkImageLoader.cs,2,1111,568,543,0,0.0
ArtworkImageLoader.cs.meta,1,604,161,443,0,0.0
Assembly-CSharp-vs.csproj,3,725,269,456,0,0.0
Assembly-CSharp.csproj,3,725,269,456,0,0.0
Assembly-CSharp.dll,12,950,31,919,0,0.0
Assembly-CSharp.dll.mdb,12,950,31,919,0,0.0
AssertionComponent.cs,3,54470,18194,36276,0,0.0
AssertionComponent.cs.meta,3,54470,18194,36276,0,0.0
AssertionComponentEditor.cs,3,54470,18194,36276,0,0.0
AssertionComponentEditor.cs.meta,3,54470,18194,36276,0,0.0
AssertionExample.meta,4,61707,25431,36276,0,0.0
AssertionExampleScene.unity,4,61707,25431,36276,0,0.0
AssertionExampleScene.unity.meta,4,61707,25431,36276,0,0.0
AssertionException.cs,3,54470,18194,36276,0,0.0
AssertionException.cs.meta,3,54470,18194,36276,0,0.0
AssertionExplorerWindow.cs,3,54470,18194,36276,0,0.0
AssertionExplorerWindow.cs.meta,3,54470,18194,36276,0,0.0
AssertionListRenderer.cs,3,54470,18194,36276,0,0.0
AssertionListRenderer.cs.meta,3,54470,18194,36276,0,0.0
AssertionStripper.cs,3,54470,18194,36276,0,0.0
AssertionStripper.cs.meta,3,54470,18194,36276,0,0.0
Assertions.cs,3,54470,18194,36276,0,0.0
Assertions.cs.meta,3,54470,18194,36276,0,0.0
Assertions.meta,3,54470,18194,36276,0,0.0
AssertionsExample.unity,4,61707,25431,36276,0,0.0
AssertionsExample.unity.meta,4,61707,25431,36276,0,0.0
AssetImportState,2,80,2,78,0,0.0
AssetServerCacheV3,3,80,2,78,0,0.0
AssetVersioning.db,2,449,0,449,0,0.0
AsyncLoader.cs,3,674,122,552,0,0.0
AsyncLoader.cs.meta,1,90,2,88,0,0.0
Attributes.meta,1,4836,20,4816,0,0.0
Audio.meta,1,187,1,186,0,0.0
AudioManager.asset,1,11,0,11,0,0.0
AutoFire.js,4,61707,25431,36276,0,0.0
AutoFire.js.meta,4,61707,25431,36276,0,0.0
AxisTouchButton.cs,1,4181,22,4159,0,0.0
AxisTouchButton.cs.meta,1,4181,22,4159,0,0.0
BackgroundAndCharacters.meta,8,62615,25665,36950,0,0.0
BackgroundRunner.cs,3,54470,18194,36276,0,0.0
BackgroundRunner.cs.meta,3,54470,18194,36276,0,0.0
Ball.physicMaterial,4,61707,25431,36276,0,0.0
Ball.physicMaterial.meta,4,61707,25431,36276,0,0.0
Bart.png,1,788,62,726,0,0.0
Bart.png.meta,1,788,62,726,0,0.0
BasicActions.cs,7,1421,355,1066,1,0.14285714285714285
BasicActions.cs.meta,1,376,146,230,0,0.0
Batch.cs,6,108940,36388,72552,0,0.0
Batch.cs.meta,6,108940,36388,72552,0,0.0
Black.png,1,101002,17,100985,0,0.0
Black.png.meta,1,101002,17,100985,0,0.0
Blend.shader,1,23752,8,23744,0,0.0
Blend.shader.meta,1,23752,8,23744,0,0.0
BlendForBloom.shader,1,23752,8,23744,0,0.0
BlendForBloom.shader.meta,1,23752,8,23744,0,0.0
BlendModesOverlay.shader,1,23752,8,23744,0,0.0
BlendModesOverlay.shader.meta,1,23752,8,23744,0,0.0
BlendOneOne.shader,1,23752,8,23744,0,0.0
BlendOneOne.shader.meta,1,23752,8,23744,0,0.0
Blob_Storm.mat,4,61707,25431,36276,0,0.0
Blob_Storm.mat.meta,4,61707,25431,36276,0,0.0
BloodA.mat,4,61707,25431,36276,0,0.0
BloodA.mat.meta,4,61707,25431,36276,0,0.0
BloodA_test.psd,4,61707,25431,36276,0,0.0
BloodA_test.psd.meta,4,61707,25431,36276,0,0.0
Blood_Splatter.prefab,4,61707,25431,36276,0,0.0
Blood_Splatter.prefab.meta,4,61707,25431,36276,0,0.0
Bloom.cs,1,23752,8,23744,0,0.0
Bloom.cs.meta,1,23752,8,23744,0,0.0
BloomAndFlares.cs,1,23752,8,23744,0,0.0
BloomAndFlares.cs.meta,1,23752,8,23744,0,0.0
BloomAndFlaresEditor.cs,1,23752,8,23744,0,0.0
BloomAndFlaresEditor.cs.meta,1,23752,8,23744,0,0.0
BloomEditor.cs,1,23752,8,23744,0,0.0
BloomEditor.cs.meta,1,23752,8,23744,0,0.0
BloomOptimized.cs,1,23752,8,23744,0,0.0
BloomOptimized.cs.meta,1,23752,8,23744,0,0.0
Blue_003.mat,1,4181,22,4159,0,0.0
Blue_003.mat.meta,1,4181,22,4159,0,0.0
Blur.cs,1,23752,8,23744,0,0.0
Blur.cs.meta,1,23752,8,23744,0,0.0
BlurAndFlares.shader,1,23752,8,23744,0,0.0
BlurAndFlares.shader.meta,1,23752,8,23744,0,0.0
BlurEffectConeTaps.shader,1,23752,8,23744,0,0.0
BlurEffectConeTaps.shader.meta,1,23752,8,23744,0,0.0
BlurOptimized.cs,1,23752,8,23744,0,0.0
BlurOptimized.cs.meta,1,23752,8,23744,0,0.0
Bokeh34.shader,1,23752,8,23744,0,0.0
Bokeh34.shader.meta,1,23752,8,23744,0,0.0
BoolComparer.cs,3,54470,18194,36276,0,0.0
BoolComparer.cs.meta,3,54470,18194,36276,0,0.0
BouncingPlane.physicMaterial,4,61707,25431,36276,0,0.0
BouncingPlane.physicMaterial.meta,4,61707,25431,36276,0,0.0
BouncingSphere.prefab,4,61707,25431,36276,0,0.0
BouncingSphere.prefab.meta,4,61707,25431,36276,0,0.0
BranchMaterial.mat,1,23752,8,23744,0,0.0
BranchMaterial.mat.meta,1,23752,8,23744,0,0.0
BrightPassFilter.shader,1,23752,8,23744,0,0.0
BrightPassFilter.shader.meta,1,23752,8,23744,0,0.0
BrightPassFilter2.shader,1,23752,8,23744,0,0.0
BrightPassFilter2.shader.meta,1,23752,8,23744,0,0.0
BrowseButton.cs,2,282,55,227,1,0.5
BrowseButton.cs.meta,2,282,55,227,1,0.5
BrowseButton.prefab,1,231,17,214,0,0.0
BrowseButton.prefab.meta,1,231,17,214,0,0.0
BuildMuseum COPY.unity,2,131,5,126,1,0.5
BuildMuseum COPY.unity.meta,1,123,1,122,1,1.0
BuildMuseum OLD.unity,2,20,14,6,0,0.0
BuildMuseum OLD.unity.meta,1,8,4,4,0,0.0
BuildMuseum style feature.unity,3,28,26,2,1,0.3333333333333333
BuildMuseum style feature.unity.meta,2,28,26,2,0,0.0
BuildMuseum with style choose.unity,1,10,1,9,0,0.0
BuildMuseum with style choose.unity.meta,2,22,11,11,0,0.0
BuildMuseum with style choose.unity.meta.orig,1,217,93,124,0,0.0
BuildMuseum with style choose.unity.meta.orig.meta,1,217,93,124,0,0.0
BuildMuseum.unity,53,35919,3295,32624,12,0.22641509433962265
BuildMuseum.unity.meta,5,375,14,361,2,0.4
BuildMuseum.unity.orig,1,13,3,10,0,0.0
BuildMuseum.unity.orig.meta,1,13,3,10,0,0.0
BuildMuseumActions.cs,10,25313,603,24710,3,0.3
BuildMuseumActions.cs.meta,1,34,5,29,0,0.0
BuildMuseumRian.unity,2,24,16,8,0,0.0
BuildMuseumRian.unity.meta,2,24,16,8,0,0.0
BuildPlayer.prefs,1,11,0,11,0,0.0
BuildSettings.asset,1,11,0,11,0,0.0
Building.meta,1,275,0,275,1,1.0
Bullet-bullet.mat,4,61707,25431,36276,0,0.0
Bullet-bullet.mat.meta,4,61707,25431,36276,0,0.0
Bullet.FBX,4,61707,25431,36276,0,0.0
Bullet.FBX.meta,4,61707,25431,36276,0,0.0
Button.prefab,6,1627,649,978,0,0.0
Button.prefab.meta,1,376,146,230,0,0.0
ButtonAdd.png,3,928,44,884,0,0.0
ButtonAdd.png.meta,2,354,31,323,0,0.0
ButtonAddHL.png,2,685,39,646,0,0.0
ButtonAddHL.png.meta,2,685,39,646,0,0.0
ButtonBack.png,3,928,44,884,0,0.0
ButtonBack.png.meta,2,354,31,323,0,0.0
ButtonBackHL.png,2,685,39,646,0,0.0
ButtonBackHL.png.meta,2,685,39,646,0,0.0
ButtonBackgroundHL.png,1,1215,5,1210,0,0.0
ButtonBackgroundHL.png.meta,1,1215,5,1210,0,0.0
ButtonDelete.png,2,685,39,646,0,0.0
ButtonDelete.png.meta,2,685,39,646,0,0.0
ButtonDeleteHL.png,2,685,39,646,0,0.0
ButtonDeleteHL.png.meta,2,685,39,646,0,0.0
ButtonEdit.png,2,685,39,646,0,0.0
ButtonEdit.png.meta,2,685,39,646,0,0.0
ButtonEditHL.png,2,685,39,646,0,0.0
ButtonEditHL.png.meta,2,685,39,646,0,0.0
ButtonHandler.cs,1,4181,22,4159,0,0.0
ButtonHandler.cs.meta,1,4181,22,4159,0,0.0
ButtonQR.png,1,294,45,249,0,0.0
ButtonQR.png.meta,1,294,45,249,0,0.0
ButtonQRHL.png,1,294,45,249,0,0.0
ButtonQRHL.png.meta,1,294,45,249,0,0.0
ButtonSave.png,1,788,62,726,0,0.0
ButtonSave.png.meta,1,788,62,726,0,0.0
ButtonSaveBig.png,1,110,0,110,0,0.0
ButtonSaveBig.png.meta,1,110,0,110,0,0.0
ButtonSaveBigHL.png,1,110,0,110,0,0.0
ButtonSaveBigHL.png.meta,1,110,0,110,0,0.0
ButtonSaveHL.png,1,788,62,726,0,0.0
ButtonSaveHL.png.meta,1,788,62,726,0,0.0
ButtonSettings.png,1,1215,5,1210,0,0.0
ButtonSettings.png.meta,1,1215,5,1210,0,0.0
ButtonSettingsHL.png,1,1215,5,1210,0,0.0
ButtonSettingsHL.png.meta,1,1215,5,1210,0,0.0
ButtonThumbstickOverSprite.png,1,4181,22,4159,0,0.0
ButtonThumbstickOverSprite.png.meta,1,4181,22,4159,0,0.0
ButtonThumbstickUpSprite.png,1,4181,22,4159,0,0.0
ButtonThumbstickUpSprite.png.meta,1,4181,22,4159,0,0.0
ButtonWalk.png,2,685,39,646,0,0.0
ButtonWalk.png.meta,2,685,39,646,0,0.0
ButtonWalkHL.png,2,685,39,646,0,0.0
ButtonWalkHL.png.meta,2,685,39,646,0,0.0
CallJavaCode.cs,2,4283,2052,2231,0,0.0
CallJavaCode.cs.meta,2,4283,2052,2231,0,0.0
CallTesting.cs,3,54470,18194,36276,0,0.0
CallTesting.cs.meta,3,54470,18194,36276,0,0.0
CameraMotionBlur.cs,1,23752,8,23744,0,0.0
CameraMotionBlur.cs.meta,1,23752,8,23744,0,0.0
CameraMotionBlur.shader,1,23752,8,23744,0,0.0
CameraMotionBlur.shader.meta,1,23752,8,23744,0,0.0
CameraMotionBlurDX11.shader,1,23752,8,23744,0,0.0
CameraMotionBlurDX11.shader.meta,1,23752,8,23744,0,0.0
CameraMotionBlurEditor.cs,1,23752,8,23744,0,0.0
CameraMotionBlurEditor.cs.meta,1,23752,8,23744,0,0.0
CanvasFacebookLoader.cs,1,21682,20,21662,0,0.0
CanvasFacebookLoader.cs.meta,1,21682,20,21662,0,0.0
Catalog.cs,18,29035,879,28156,4,0.2222222222222222
Catalog.cs.meta,1,2613,2,2611,0,0.0
Catalog.meta,1,2613,2,2611,0,0.0
Catalog.prefab,3,1344,571,773,0,0.0
CatalogItem.prefab,2,2124,2104,20,0,0.0
Ceiling1.png,2,709,13,696,0,0.0
Ceiling1.png.meta,2,709,13,696,0,0.0
Ceiling1.prefab,2,161,22,139,0,0.0
Ceiling1.prefab.meta,2,161,22,139,0,0.0
Ceiling1Material.mat,3,25626,16,25610,0,0.0
Ceiling1Material.mat.meta,2,24378,9,24369,0,0.0
Ceiling1Normal.png,2,709,13,696,0,0.0
Ceiling1Normal.png.meta,2,709,13,696,0,0.0
Ceiling2.png,1,360,99,261,1,1.0
Ceiling2.png.meta,1,360,99,261,1,1.0
Ceiling2.prefab,1,57,0,57,0,0.0
Ceiling2.prefab.meta,1,57,0,57,0,0.0
Ceiling2Material.mat,3,24169,107,24062,1,0.3333333333333333
Ceiling2Material.mat.meta,2,24112,107,24005,1,0.5
Ceiling2Normal.png,1,360,99,261,1,1.0
Ceiling2Normal.png.meta,1,360,99,261,1,1.0
Ceiling3.png,1,1248,7,1241,0,0.0
Ceiling3.png.meta,1,1248,7,1241,0,0.0
Ceiling3.prefab,2,95,21,74,0,0.0
Ceiling3.prefab.meta,1,60,5,55,0,0.0
Ceiling3Material.mat,2,25000,15,24985,0,0.0
Ceiling3Material.mat.meta,2,25000,15,24985,0,0.0
Ceiling3Normal.png,1,1248,7,1241,0,0.0
Ceiling3Normal.png.meta,1,1248,7,1241,0,0.0
Ceiling4.prefab,1,23752,8,23744,0,0.0
Ceiling4.prefab.meta,1,23752,8,23744,0,0.0
Ceiling4Material.mat,1,23752,8,23744,0,0.0
Ceiling4Material.mat.meta,1,23752,8,23744,0,0.0
Ceiling4Normal.png,1,23752,8,23744,0,0.0
Ceiling4Normal.png.meta,1,23752,8,23744,0,0.0
CeilingQuad.prefab.meta.orig,1,164,1,163,0,0.0
CeilingQuad.prefab.meta.orig.meta,1,164,1,163,0,0.0
Ceramic_IOR_001.mat,1,4181,22,4159,0,0.0
Ceramic_IOR_001.mat.meta,1,4181,22,4159,0,0.0
Chair.FBX,1,23752,8,23744,0,0.0
Chair.FBX.meta,1,23752,8,23744,0,0.0
Chair.prefab,1,23752,8,23744,0,0.0
Chair.prefab.meta,1,23752,8,23744,0,0.0
ChairFabric.mat,1,23752,8,23744,0,0.0
ChairFabric.mat.meta,1,23752,8,23744,0,0.0
CharacterSelfIlluminationReflective.shader,4,61707,25431,36276,0,0.0
CharacterSelfIlluminationReflective.shader.meta,4,61707,25431,36276,0,0.0
CheckMethod.cs,3,54470,18194,36276,0,0.0
CheckMethod.cs.meta,3,54470,18194,36276,0,0.0
Checkbox.prefab,2,409,150,259,0,0.0
Checkbox.prefab.meta,1,376,146,230,0,0.0
ChromaticAberrationShader.shader,1,23752,8,23744,0,0.0
ChromaticAberrationShader.shader.meta,1,23752,8,23744,0,0.0
CircleCrossHair.png,1,101002,17,100985,0,0.0
CircleCrossHair.png.meta,1,101002,17,100985,0,0.0
CodeBasedAssertionExample.cs,4,61707,25431,36276,0,0.0
CodeBasedAssertionExample.cs.meta,4,61707,25431,36276,0,0.0
ColliderComparer.cs,3,54470,18194,36276,0,0.0
ColliderComparer.cs.meta,3,54470,18194,36276,0,0.0
ColorCorrection3DLut.shader,1,23752,8,23744,0,0.0
ColorCorrection3DLut.shader.meta,1,23752,8,23744,0,0.0
ColorCorrectionCurves.cs,1,23752,8,23744,0,0.0
ColorCorrectionCurves.cs.meta,1,23752,8,23744,0,0.0
ColorCorrectionCurves.shader,1,23752,8,23744,0,0.0
ColorCorrectionCurves.shader.meta,1,23752,8,23744,0,0.0
ColorCorrectionCurvesEditor.cs,1,23752,8,23744,0,0.0
ColorCorrectionCurvesEditor.cs.meta,1,23752,8,23744,0,0.0
ColorCorrectionCurvesSimple.shader,1,23752,8,23744,0,0.0
ColorCorrectionCurvesSimple.shader.meta,1,23752,8,23744,0,0.0
ColorCorrectionEffect.shader,1,23752,8,23744,0,0.0
ColorCorrectionEffect.shader.meta,1,23752,8,23744,0,0.0
ColorCorrectionLookup.cs,1,23752,8,23744,0,0.0
ColorCorrectionLookup.cs.meta,1,23752,8,23744,0,0.0
ColorCorrectionLookupEditor.cs,1,23752,8,23744,0,0.0
ColorCorrectionLookupEditor.cs.meta,1,23752,8,23744,0,0.0
ColorCorrectionRamp.cs,1,23752,8,23744,0,0.0
ColorCorrectionRamp.cs.meta,1,23752,8,23744,0,0.0
ColorCorrectionSelective.shader,1,23752,8,23744,0,0.0
ColorCorrectionSelective.shader.meta,1,23752,8,23744,0,0.0
ColorPicker.cs,1,23752,8,23744,0,0.0
ColorPicker.cs.meta,1,23752,8,23744,0,0.0
ColorPickerColor.cs,1,23752,8,23744,0,0.0
ColorPickerColor.cs.meta,1,23752,8,23744,0,0.0
Colorable.cs,1,23752,8,23744,0,0.0
Colorable.cs.meta,1,23752,8,23744,0,0.0
Column.FBX,1,23752,8,23744,0,0.0
Column.FBX.meta,1,23752,8,23744,0,0.0
Column.prefab,1,23752,8,23744,0,0.0
Column.prefab.meta,1,23752,8,23744,0,0.0
ColumnMaterial.mat,1,23752,8,23744,0,0.0
ColumnMaterial.mat.meta,1,23752,8,23744,0,0.0
CombineChildren.cs,2,2100,102,1998,2,1.0
CombineChildren.cs.meta,2,2100,102,1998,2,1.0
Common.meta,3,54470,18194,36276,0,0.0
ComparerBase.cs,3,54470,18194,36276,0,0.0
ComparerBase.cs.meta,3,54470,18194,36276,0,0.0
Comparers.meta,3,54470,18194,36276,0,0.0
Compat.browser,4,88695,44334,44361,0,0.0
CompilationCompleted.txt,2,80,2,78,0,0.0
ConsoleBase.cs,2,23239,1575,21664,0,0.0
ConsoleBase.cs.meta,2,23239,1575,21664,0,0.0
Contents.meta,2,101077,17,101060,0,0.0
Contrast Stretch.meta,1,23752,8,23744,0,0.0
ContrastComposite.shader,1,23752,8,23744,0,0.0
ContrastComposite.shader.meta,1,23752,8,23744,0,0.0
ContrastEnhance.cs,1,23752,8,23744,0,0.0
ContrastEnhance.cs.meta,1,23752,8,23744,0,0.0
ContrastEnhanced3D16.png,1,23752,8,23744,0,0.0
ContrastEnhanced3D16.png.meta,1,23752,8,23744,0,0.0
ContrastStretch.cs,1,23752,8,23744,0,0.0
ContrastStretch.cs.meta,1,23752,8,23744,0,0.0
ConvertDepth.shader,1,23752,8,23744,0,0.0
ConvertDepth.shader.meta,1,23752,8,23744,0,0.0
CookieJar.cs,1,3531,1375,2156,0,0.0
CookieJar.cs.meta,1,3531,1375,2156,0,0.0
CreaseApply.shader,1,23752,8,23744,0,0.0
CreaseApply.shader.meta,1,23752,8,23744,0,0.0
CreaseShading.cs,1,23752,8,23744,0,0.0
CreaseShading.cs.meta,1,23752,8,23744,0,0.0
CreditController.cs,5,162,47,115,0,0.0
CreditController.cs.meta,1,81,18,63,0,0.0
Credits.png,1,80,5,75,1,1.0
Credits.png.meta,1,80,5,75,1,1.0
CrossPlatformInput.meta,2,8362,44,8318,0,0.0
CrossPlatformInputInitialize.cs,1,4181,22,4159,0,0.0
CrossPlatformInputInitialize.cs.meta,1,4181,22,4159,0,0.0
CrossPlatformInputManager.cs,1,4181,22,4159,0,0.0
CrossPlatformInputManager.cs.meta,1,4181,22,4159,0,0.0
Crosshair.tga,1,101002,17,100985,0,0.0
Crosshair.tga.meta,1,101002,17,100985,0,0.0
Cube.prefab,2,72,0,72,0,0.0
Cube.prefab.meta,1,72,0,72,0,0.0
CubeCollisionFailure.prefab,3,54470,18194,36276,0,0.0
CubeCollisionFailure.prefab.meta,3,54470,18194,36276,0,0.0
CubeCollisionSuccess.prefab,3,54470,18194,36276,0,0.0
CubeCollisionSuccess.prefab.meta,3,54470,18194,36276,0,0.0
CubeMaps.meta,4,61707,25431,36276,0,0.0
CubeMaterial.mat,1,101002,17,100985,0,0.0
CubeMaterial.mat.meta,1,101002,17,100985,0,0.0
CubeTriggerFailure.prefab,3,54470,18194,36276,0,0.0
CubeTriggerFailure.prefab.meta,3,54470,18194,36276,0,0.0
CubeTriggerSuccess.prefab,3,54470,18194,36276,0,0.0
CubeTriggerSuccess.prefab.meta,3,54470,18194,36276,0,0.0
Cubes.unity,1,101002,17,100985,0,0.0
Cubes.unity.meta,1,101002,17,100985,0,0.0
CurrentLayout.dwlt,4,95,0,95,0,0.0
Cursor.mat,4,61707,25431,36276,0,0.0
Cursor.mat.meta,4,61707,25431,36276,0,0.0
Cursor.prefab,4,61707,25431,36276,0,0.0
Cursor.prefab.meta,4,61707,25431,36276,0,0.0
Cursor.shader,4,61707,25431,36276,0,0.0
Cursor.shader.meta,4,61707,25431,36276,0,0.0
